dataset,format,best_ratio,best_ratio_source,best_encode_mb_s,best_encode_source,worst_encode_mb_s,worst_encode_source,best_decode_mb_s,best_decode_source,worst_decode_mb_s,worst_decode_source,min_encode_rss_mb,min_encode_rss_source,max_encode_rss_mb,max_encode_rss_source,min_decode_rss_mb,min_decode_rss_source,max_decode_rss_mb,max_decode_rss_source,min_encode_cpu_power_mw,min_encode_cpu_power_source,max_encode_cpu_power_mw,max_encode_cpu_power_source,min_decode_cpu_power_mw,min_decode_cpu_power_source,max_decode_cpu_power_mw,max_decode_cpu_power_source,min_encode_cpu_energy_j,min_encode_cpu_energy_source,max_encode_cpu_energy_j,max_encode_cpu_energy_source,min_decode_cpu_energy_j,min_decode_cpu_energy_source,max_decode_cpu_energy_j,max_decode_cpu_energy_source
資料夾,格式,最佳壓縮比,最佳壓縮比來源,最佳壓縮 MB/s,最佳壓縮來源,最差壓縮 MB/s,最差壓縮來源,最佳解壓 MB/s,最佳解壓來源,最差解壓 MB/s,最差解壓來源,最低 Encode RSS,最低 Encode RSS 來源,最高 Encode RSS,最高 Encode RSS 來源,最低 Decode RSS,最低 Decode RSS 來源,最高 Decode RSS,最高 Decode RSS 來源,最低 Encode CPU Power(mW),最低 Encode CPU Power 來源,最高 Encode CPU Power(mW),最高 Encode CPU Power 來源,最低 Decode CPU Power(mW),最低 Decode CPU Power 來源,最高 Decode CPU Power(mW),最高 Decode CPU Power 來源,最低 Encode CPU Energy(J),最低 Encode CPU Energy 來源,最高 Encode CPU Energy(J),最高 Encode CPU Energy 來源,最低 Decode CPU Energy(J),最低 Decode CPU Energy 來源,最高 Decode CPU Energy(J),最高 Decode CPU Energy 來源
claw-code,TGZ,1.0000,log n4,51.28,log n40,48.13,log n4,596.35,log n40,565.52,log n8,4.1,log n4,4.1,log n4,3.7,log n4,3.7,log n4,6218.832,log n4,6218.832,log n4,4671.636,log n4,4671.636,log n4,166.757694,log n4,166.757694,log n4,6.165873,log n4,6.165873,log n4
claw-code,Other3,0.9872,n4,587.33,n8,410.40,n4,736.57,n40,681.18,n4,137.0,n4,371.5,n40,69.0,n4,302.4,n40,15798.567,n4,17127.077,n40,197.000,n40,8847.000,n4,34.229972,n40,55.580419,n4,0.086194,n40,6.547276,n4
claw-code,BVX3,0.9515,n4,589.03,n40,405.94,n4,581.45,n40,351.34,n4,132.9,n4,372.8,n40,69.7,n4,318.2,n40,16243.067,n4,17631.444,n8,282.000,n40,10394.286,n4,34.633305,n40,55.914502,n4,0.158688,n40,10.132267,n4
claw-code,Lazy2,0.9016,n4,69.15,n40,51.88,n4,688.01,n8,530.51,n40,189.9,n4,502.0,n40,68.0,n4,319.2,n40,5294.050,n8,5591.198,n4,188.000,n40,10030.833,n4,107.715221,n40,151.201024,n4,0.095580,n40,8.855742,n4
claw-code,Optimal,0.8590,n4,37.13,n40,25.83,n4,601.77,n8,544.35,n40,205.8,n4,580.8,n40,64.9,n4,312.8,n40,12795.151,n4,13219.772,n40,169.000,n40,10204.667,n4,502.751197,n40,702.177886,n4,0.086997,n40,9.120523,n4
claw-code,Apple,0.9877,log n4,158.27,log n4,152.20,log n40,668.79,log n8,531.82,log n40,1356.4,log n4,1356.4,log n4,473.1,log n4,473.1,log n4,5412.300,log n4,6412.065,log n40,3163.833,log n4,3319.333,log n40,47.273004,log n4,54.161622,log n40,2.579561,log n4,2.685307,log n40
claw-code,TLZ4,1.1796,log n4,631.76,log n8,581.95,log n40,842.29,log n40,672.12,log n8,77.1,log n40,79.9,log n8,33.8,log n4,33.8,log n4,16504.812,log n4,16504.812,log n4,3141.500,log n4,3141.500,log n4,33.913392,log n4,33.913392,log n4,1.480020,log n4,1.480020,log n4
claw-code,ZSTD,0.8255,log n4,486.14,log n4,484.82,log n40,971.81,log n8,748.62,log n4,398.8,log n40,401.8,log n4,9.2,log n4,9.2,log n4,14579.727,log n4,14579.727,log n4,4914.429,log n4,4914.429,log n4,41.501470,log n4,41.501470,log n4,4.635260,log n4,4.635260,log n4
llama.cpp,TGZ,1.0000,log n4,64.92,log n40,63.88,log n4,262.42,log n8,245.39,log n40,4.2,log n4,4.2,log n4,3.8,log n4,3.8,log n4,4940.837,log n4,4940.837,log n4,3500.333,log n4,3500.333,log n4,101.234207,log n4,101.234207,log n4,3.105597,log n4,3.105597,log n4
llama.cpp,Other3,0.9979,n4,405.58,n40,330.02,n4,251.78,n8,242.65,n4,129.8,n4,356.8,n40,67.2,n4,349.3,n40,14631.348,n4,16586.077,n8,5461.333,n4,9658.500,n8,26.283298,n40,38.952059,n4,2.955117,n4,4.039998,n8
llama.cpp,BVX3,0.9816,n4,390.68,n40,312.35,n4,219.06,n4,197.82,n40,133.6,n4,361.4,n40,77.5,n4,351.3,n40,15023.913,n4,16810.111,n40,4997.500,n8,8596.500,n4,27.060950,n40,40.467390,n4,2.353792,n8,5.992017,n4
llama.cpp,Lazy2,0.9588,n4,189.14,n40,142.11,n4,269.97,n4,259.08,n8,195.2,n4,531.2,n40,71.3,n4,349.3,n40,7372.164,n40,7726.462,n4,159.000,n8,5801.000,n4,46.721709,n40,66.975236,n4,0.058408,n8,2.850704,n4
llama.cpp,Optimal,0.9416,n4,60.78,n40,39.28,n4,225.28,n40,199.44,n4,225.2,n4,600.9,n40,70.4,n4,349.9,n40,13779.203,n4,15123.503,n40,3742.000,n8,7906.333,n4,325.627394,n40,462.782980,n4,1.693046,n8,4.724295,n4
llama.cpp,Apple,1.0008,log n4,161.11,log n8,159.71,log n40,229.02,log n8,199.61,log n40,1197.8,log n4,1197.8,log n4,593.9,log n4,593.9,log n4,5565.967,log n4,5663.467,log n40,3205.667,log n40,3231.500,log n8,37.447932,log n4,37.814698,log n40,2.645367,log n40,2.664446,log n8
llama.cpp,TLZ4,1.0547,log n4,340.52,log n4,332.27,log n40,234.84,log n4,212.39,log n40,81.9,log n4,85.5,log n40,33.8,log n4,33.8,log n4,17800.375,log n4,17800.375,log n4,9183.000,log n4,9183.000,log n4,37.921031,log n4,37.921031,log n4,3.492284,log n4,3.492284,log n4
llama.cpp,ZSTD,0.9124,log n4,411.07,log n4,403.11,log n40,267.87,log n8,236.26,log n40,494.4,log n8,508.0,log n4,9.2,log n4,9.2,log n4,15275.231,log n4,15275.231,log n4,2576.000,log n4,2576.000,log n4,26.645272,log n4,26.645272,log n4,1.323128,log n4,1.323128,log n4
