[rss] log: C:\Users\lowei\proj\lzfse2\helper_windows\bench_logs\llama.cpp-rss-file-n40-20260717-235054.log
[rss] start: 2026-07-17 23:50:54
[rss] cwd: C:\Users\lowei\proj\lzfse2\helper_windows
[rss] dataset: ..\llama.cpp
[rss] n: 40
[rss] output: write to file
[rss] Other3 (file) ...
  encode RSS = 109 MB   decode RSS = 346.6 MB
[rss] Optimal3 (file) ...
  encode RSS = 752.6 MB   decode RSS = 346 MB
[rss] BVX3 (file) ...
  encode RSS = 123.2 MB   decode RSS = 346.5 MB
[rss] Lazy2 (file) ...
  encode RSS = 607.4 MB   decode RSS = 345.3 MB
[rss] Optimal (file) ...
  encode RSS = 754.1 MB   decode RSS = 345.5 MB
[rss] LZ4 (file) ...
  encode RSS = 8.9 MB   decode RSS = 9 MB
[rss] ZSTD (file) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] Tgz (file) ...
  encode RSS = 6.9 MB   decode RSS = 7.2 MB

[OK] C:\Users\lowei\proj\lzfse2\helper_windows\bench_results_csv\rss_summary.csv written (peak RSS = Peak Working Set, n=40, output=file):
  dataset,format,output_mode,encode_rss_mb,decode_rss_mb
  claw-code,Other3,nul,138.7,257.4
  claw-code,Optimal3,nul,497.2,255.1
  claw-code,BVX3,nul,137.8,248.9
  claw-code,Lazy2,nul,483.6,247.5
  claw-code,Optimal,nul,511.3,244.6
  claw-code,LZ4,nul,8.4,8.9
  claw-code,ZSTD,nul,8.4,8.3
  claw-code,Tgz,nul,6.4,5.8
  claw-code,Other3,file,137.4,259
  claw-code,Optimal3,file,501.6,255.2
  claw-code,BVX3,file,135.4,248.9
  claw-code,Lazy2,file,485.2,246.9
  claw-code,Optimal,file,535.3,244.4
  claw-code,LZ4,file,8.4,8.3
  claw-code,ZSTD,file,8.3,8.3
  claw-code,Tgz,file,6.4,5.9
  llama.cpp,Other3,nul,121,345.9
  llama.cpp,Optimal3,nul,755,346.4
  llama.cpp,BVX3,nul,148.8,346.6
  llama.cpp,Lazy2,nul,573,345.7
  llama.cpp,Optimal,nul,759.1,345.6
  llama.cpp,LZ4,nul,8.4,8.9
  llama.cpp,ZSTD,nul,8.4,8.4
  llama.cpp,Tgz,nul,6.8,6
  llama.cpp,Other3,file,109,346.6
  llama.cpp,Optimal3,file,752.6,346
  llama.cpp,BVX3,file,123.2,346.5
  llama.cpp,Lazy2,file,607.4,345.3
  llama.cpp,Optimal,file,754.1,345.5
  llama.cpp,LZ4,file,8.9,9
  llama.cpp,ZSTD,file,8.4,8.4
  llama.cpp,Tgz,file,6.9,7.2
[rss] finish: 2026-07-17 23:55:38
