[rss] log: C:\Users\lowei\proj\lzfse2\helper_windows\bench_logs\llama.cpp-rss-nul-n40-20260630-225352.log
[rss] start: 2026-06-30 22:53:52
[rss] cwd: C:\Users\lowei\proj\lzfse2\helper_windows
[rss] dataset: ..\llama.cpp
[rss] n: 40
[rss] output: write to nul
[rss] Other3 (nul) ...
  encode RSS = 135.5 MB   decode RSS = 346.3 MB
[rss] BVX3 (nul) ...
  encode RSS = 151.6 MB   decode RSS = 346.4 MB
[rss] Lazy2 (nul) ...
  encode RSS = 751.9 MB   decode RSS = 345.9 MB
[rss] Optimal (nul) ...
  encode RSS = 742.2 MB   decode RSS = 346.4 MB
[rss] LZ4 (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] ZSTD (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] Tgz (nul) ...
  encode RSS = 6.6 MB   decode RSS = 5.8 MB

[OK] C:\Users\lowei\proj\lzfse2\helper_windows\bench_results_csv\rss_summary.csv written (peak RSS = Peak Working Set, n=40, output=nul):
  dataset,format,output_mode,encode_rss_mb,decode_rss_mb
  claw-code,Other3,nul,118.3,248.4
  claw-code,BVX3,nul,132.7,245.8
  claw-code,Lazy2,nul,482.7,243.5
  claw-code,Optimal,nul,507.5,241.1
  claw-code,LZ4,nul,8.4,8.9
  claw-code,ZSTD,nul,8.4,8.4
  claw-code,Tgz,nul,6.4,5.8
  claw-code,Other3,file,130.9,246.8
  claw-code,BVX3,file,135.7,245.6
  claw-code,Lazy2,file,482.1,242
  claw-code,Optimal,file,510.5,240.7
  claw-code,LZ4,file,8.4,8.4
  claw-code,ZSTD,file,8.4,8.4
  claw-code,Tgz,file,6.4,6.2
  llama.cpp,Other3,nul,135.5,346.3
  llama.cpp,BVX3,nul,151.6,346.4
  llama.cpp,Lazy2,nul,751.9,345.9
  llama.cpp,Optimal,nul,742.2,346.4
  llama.cpp,LZ4,nul,8.4,8.4
  llama.cpp,ZSTD,nul,8.4,8.4
  llama.cpp,Tgz,nul,6.6,5.8
[rss] finish: 2026-06-30 22:56:01
