[rss] log: C:\Users\lowei\proj\lzfse2\helper_windows\bench_logs\llama.cpp-rss-nul-n40-20260717-234638.log
[rss] start: 2026-07-17 23:46:38
[rss] cwd: C:\Users\lowei\proj\lzfse2\helper_windows
[rss] dataset: ..\llama.cpp
[rss] n: 40
[rss] output: write to nul
[rss] Other3 (nul) ...
  encode RSS = 121 MB   decode RSS = 345.9 MB
[rss] Optimal3 (nul) ...
  encode RSS = 755 MB   decode RSS = 346.4 MB
[rss] BVX3 (nul) ...
  encode RSS = 148.8 MB   decode RSS = 346.6 MB
[rss] Lazy2 (nul) ...
  encode RSS = 573 MB   decode RSS = 345.7 MB
[rss] Optimal (nul) ...
  encode RSS = 759.1 MB   decode RSS = 345.6 MB
[rss] LZ4 (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.9 MB
[rss] ZSTD (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] Tgz (nul) ...
  encode RSS = 6.8 MB   decode RSS = 6 MB

[OK] C:\Users\lowei\proj\lzfse2\helper_windows\bench_results_csv\rss_summary.csv written (peak RSS = Peak Working Set, n=40, output=nul):
  dataset,format,output_mode,encode_rss_mb,decode_rss_mb
  claw-code,Other3,nul,138.7,257.4
  claw-code,Optimal3,nul,497.2,255.1
  claw-code,BVX3,nul,137.8,248.9
  claw-code,Lazy2,nul,483.6,247.5
  claw-code,Optimal,nul,511.3,244.6
  claw-code,LZ4,nul,8.4,8.9
  claw-code,ZSTD,nul,8.4,8.3
  claw-code,Tgz,nul,6.4,5.8
  claw-code,Other3,file,137.4,259
  claw-code,Optimal3,file,501.6,255.2
  claw-code,BVX3,file,135.4,248.9
  claw-code,Lazy2,file,485.2,246.9
  claw-code,Optimal,file,535.3,244.4
  claw-code,LZ4,file,8.4,8.3
  claw-code,ZSTD,file,8.3,8.3
  claw-code,Tgz,file,6.4,5.9
  llama.cpp,Other3,nul,121,345.9
  llama.cpp,Optimal3,nul,755,346.4
  llama.cpp,BVX3,nul,148.8,346.6
  llama.cpp,Lazy2,nul,573,345.7
  llama.cpp,Optimal,nul,759.1,345.6
  llama.cpp,LZ4,nul,8.4,8.9
  llama.cpp,ZSTD,nul,8.4,8.4
  llama.cpp,Tgz,nul,6.8,6
[rss] finish: 2026-07-17 23:50:53
