[rss] log: C:\Users\lowei\proj\lzfse2\helper_windows\bench_logs\llama.cpp-rss-nul-n40-20260718-104126.log
[rss] start: 2026-07-18 10:41:26
[rss] cwd: C:\Users\lowei\proj\lzfse2\helper_windows
[rss] dataset: ..\llama.cpp
[rss] n: 40
[rss] output: write to nul
[rss] TGZ backend: C:\Users\lowei\AppData\Local\Temp\lzfse2-swift-tar-shim\tar.exe (native zlib; swift_tar 20260718-090617)
[rss] Other3 (nul) ...
  encode RSS = 236.5 MB   decode RSS = 346 MB
[rss] Optimal3 (nul) ...
  encode RSS = 754.4 MB   decode RSS = 345.1 MB
[rss] BVX3 (nul) ...
  encode RSS = 151.8 MB   decode RSS = 346.3 MB
[rss] Lazy2 (nul) ...
  encode RSS = 675.5 MB   decode RSS = 345 MB
[rss] Optimal (nul) ...
  encode RSS = 756 MB   decode RSS = 346.4 MB
[rss] LZ4 (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] ZSTD (nul) ...
  encode RSS = 8.4 MB   decode RSS = 8.4 MB
[rss] Tgz (nul) ...
  encode RSS = 134.2 MB   decode RSS = 50.5 MB

[OK] C:\Users\lowei\proj\lzfse2\helper_windows\bench_results_csv\rss_summary.csv written (peak RSS = Peak Working Set, n=40, output=nul):
  dataset,format,output_mode,encode_rss_mb,decode_rss_mb
  claw-code,Other3,nul,126.8,257.6
  claw-code,Optimal3,nul,496.9,255.3
  claw-code,BVX3,nul,123.7,248.4
  claw-code,Lazy2,nul,481.2,247.9
  claw-code,Optimal,nul,508.5,244.7
  claw-code,LZ4,nul,8.9,8.9
  claw-code,ZSTD,nul,8.9,8.4
  claw-code,Tgz,nul,138.2,42.6
  claw-code,Other3,file,131.2,258.8
  claw-code,Optimal3,file,499.1,256.8
  claw-code,BVX3,file,131,248.8
  claw-code,Lazy2,file,483.4,248.9
  claw-code,Optimal,file,509.7,244.7
  claw-code,LZ4,file,8.4,8.9
  claw-code,ZSTD,file,8.4,8.4
  claw-code,Tgz,file,128.3,44.4
  llama.cpp,Other3,nul,236.5,346
  llama.cpp,Optimal3,nul,754.4,345.1
  llama.cpp,BVX3,nul,151.8,346.3
  llama.cpp,Lazy2,nul,675.5,345
  llama.cpp,Optimal,nul,756,346.4
  llama.cpp,LZ4,nul,8.4,8.4
  llama.cpp,ZSTD,nul,8.4,8.4
  llama.cpp,Tgz,nul,134.2,50.5
[rss] finish: 2026-07-18 10:46:12
