dataset,n,format,raw_size_mib,compressed_size_mib,encode_seconds,decode_seconds,encode_mb_s,decode_mb_s,compression_ratio,encode_time_ratio,decode_time_ratio,encode_rss_mb,decode_rss_mb,trace_wall_seconds,trace_timeout,trace_target_seen,cpu_symbol_status,cpu_top_symbol,cpu_top_count,cpu_top_category,cpu_parse_hits,cpu_encode_hits,cpu_fse_hits,cpu_swift_array_hits,encode_cpu_power_mw,decode_cpu_power_mw,encode_cpu_energy_j,decode_cpu_energy_j,encode_cpu_energy_ratio_tgz,decode_cpu_energy_ratio_tgz,encode_mb_s(file),decode_mb_s(file),encode_rss_mb(file),decode_rss_mb(file),encode_mb_s(null),decode_mb_s(null),encode_rss_mb(null),decode_rss_mb(null)
資料夾,N,格式,原始大小(M),壓縮後(M),壓縮耗時(秒),解壓耗時(秒),壓縮 MB/s,解壓 MB/s,壓縮比,壓縮時間比,解壓時間比,Encode RSS(MB),Decode RSS(MB),Trace wall time(秒),Trace timeout,Trace target seen,CPU Symbol Status,CPU Top Symbol,CPU Top Count,CPU Top Category,CPU Parse Hits,CPU Encode Hits,CPU FSE Hits,CPU Swift Array Hits,Encode CPU Power(mW),Decode CPU Power(mW),Encode CPU Energy(J),Decode CPU Energy(J),Encode CPU Energy Ratio (TGZ=1),Decode CPU Energy Ratio (TGZ=1),Encode MB/s (write to file),Decode MB/s (write to file),Encode RSS MB (write to file),Decode RSS MB (write to file),Encode MB/s (write to null),Decode MB/s (write to null),Encode RSS MB (write to null),Decode RSS MB (write to null)
claw-code,40,TGZ,1351M,468M,41.76,9.62,33.92,145.90,1.0000,1.0000,1.0000,6.4,6.2,,,,,,,,,,,,,,,,,,33.92,145.90,6.4,6.2,34.83,102.07,6.4,5.8
claw-code,40,LZFSE (Other3),1351M,460M,4.77,9.22,296.96,152.19,0.9818,0.1142,0.9586,131.7,247,,,,,,,,,,,,,,,,,,296.96,152.19,131.7,247,305.76,807.20,131,247.2
claw-code,40,LZFSE (Optimal3),1351M,438M,30.07,9.29,47.11,150.96,0.9351,0.7200,0.9664,496.7,244.9,,,,,,,,,,,,,,,,,,47.11,150.96,496.7,244.9,48.47,885.00,500.8,246.7
claw-code,40,LZFSE (Lazy2),1351M,408M,27.48,9.11,51.55,154.04,0.8704,0.6580,0.9471,484.4,242.5,,,,,,,,,,,,,,,,,,51.55,154.04,484.4,242.5,53.35,793.16,488,242.3
claw-code,40,LZFSE (Optimal),1351M,387M,58.39,9.02,24.26,155.59,0.8274,1.3981,0.9377,513.3,240.7,,,,,,,,,,,,,,,,,,24.26,155.59,513.3,240.7,24.50,862.58,510.6,240.5
claw-code,40,LZFSE (BVX3),1351M,433M,4.90,9.29,289.21,150.93,0.9254,0.1173,0.9666,139,245.6,,,,,,,,,,,,,,,,,,289.21,150.93,139,245.6,299.28,804.27,135.1,245.5
claw-code,40,TLZ4,1351M,550M,5.49,6.72,258.08,208.76,1.1739,0.1314,0.6989,8.3,8.3,,,,,,,,,,,,,,,,,,258.08,208.76,8.3,8.3,222.93,1781.57,8.3,8.3
claw-code,40,ZSTD,1351M,366M,9.70,7.51,146.12,186.81,0.7813,0.2321,0.7810,8.8,8.3,,,,,,,,,,,,,,,,,,146.12,186.81,8.8,8.3,143.62,1033.28,8.3,8.7
llama.cpp,40,TGZ,1261M,587M,34.50,56.24,38.32,21.54,1.0000,1.0000,1.0000,6.6,7,,,,,,,,,,,,,,,,,,38.32,21.54,6.6,7,38.98,18.19,6.5,5.8
llama.cpp,40,LZFSE (Other3),1261M,585M,7.25,40.05,182.44,30.25,0.9970,0.2101,0.7122,145.9,346.1,,,,,,,,,,,,,,,,,,182.44,30.25,145.9,346.1,182.04,831.22,136.6,346.1
llama.cpp,40,LZFSE (Optimal3),1261M,572M,20.04,42.08,66.00,28.79,0.9743,0.5807,0.7482,758.9,346,,,,,,,,,,,,,,,,,,66.00,28.79,758.9,346,67.59,831.67,757.4,346
llama.cpp,40,LZFSE (Lazy2),1261M,562M,10.45,42.62,126.49,28.43,0.9576,0.3030,0.7578,659.3,345.9,,,,,,,,,,,,,,,,,,126.49,28.43,659.3,345.9,129.86,880.51,686.1,345.7
llama.cpp,40,LZFSE (Optimal),1261M,552M,29.19,42.58,45.29,28.46,0.9412,0.8461,0.7571,741.3,346.4,,,,,,,,,,,,,,,,,,45.29,28.46,741.3,346.4,44.18,823.22,733.1,346.7
llama.cpp,40,LZFSE (BVX3),1261M,576M,7.41,42.44,178.34,28.55,0.9810,0.2149,0.7546,180.4,346.3,,,,,,,,,,,,,,,,,,178.34,28.55,180.4,346.3,179.93,781.97,150.9,346.8
llama.cpp,40,TLZ4,1261M,616M,8.55,39.60,154.57,30.59,1.0503,0.2479,0.7042,8.3,8.8,,,,,,,,,,,,,,,,,,154.57,30.59,8.3,8.8,162.96,1780.16,8.3,8.3
llama.cpp,40,ZSTD,1261M,535M,9.10,40.31,145.30,30.05,0.9123,0.2637,0.7168,8.3,8.3,,,,,,,,,,,,,,,,,,145.30,30.05,8.3,8.3,150.63,1467.09,8.3,8.3
