dataset,format,win_n_meaning,mac_n,win_encode_mb_s,mac_encode_mb_s,win_mac_speed_ratio,win_compress_ratio,mac_compress_ratio,compress_ratio_diff,win_encode_sec,mac_encode_sec,win_decode_mb_s,mac_decode_mb_s,win_mac_decode_ratio,win_decode_sec,mac_decode_sec,win_decode_verify,win_encode_rss_mb,mac_encode_rss_mb,win_decode_rss_mb,mac_decode_rss_mb,note
資料集 / Dataset,格式 / Format,Windows n meaning,macOS n,Win encode MB/s,Mac encode MB/s,Win/Mac encode speed ratio,Win compression ratio,Mac compression ratio,Compression ratio diff,Win encode sec,Mac encode sec,Win decode MB/s,Mac decode MB/s,Win/Mac decode speed ratio,Win decode sec,Mac decode sec,Win decode verify,Win encode RSS MB,Mac encode RSS MB,Win decode RSS MB,Mac decode RSS MB,備註 / Note
llama.cpp,TGZ,single run (no -n),40,25.70,42.87,0.599,1.0000,1.0000,0.0000,51.46,30.85,27.53,89.75,0.307,48.02,14.74,PASS,6.50,4.30,6.90,3.80,
llama.cpp,LZFSE (Other3),inflight=40 (1 run),40,132.53,98.50,1.346,0.9970,0.9957,0.0013,9.98,13.43,41.53,83.86,0.495,31.84,15.77,PASS,146.00,327.30,346.20,348.90,
llama.cpp,LZFSE (BVX3),inflight=40 (1 run),40,129.91,98.35,1.321,0.9810,0.9787,0.0023,10.18,13.45,36.08,79.52,0.454,36.65,16.63,PASS,171.80,362.20,346.50,351.30,
llama.cpp,LZFSE (Lazy2),inflight=40 (1 run),40,95.35,88.78,1.074,0.9576,0.9551,0.0025,13.87,14.90,25.04,85.54,0.293,52.80,15.46,PASS,649.80,496.90,345.60,348.80,
llama.cpp,LZFSE (Optimal),inflight=40 (1 run),40,32.41,51.28,0.632,0.9412,0.9387,0.0025,40.80,25.79,24.64,86.39,0.285,53.67,15.31,PASS,760.50,800.40,346.10,349.00,
llama.cpp,TLZ4,single run (no -n),40,118.67,95.39,1.244,1.0503,1.0537,-0.0034,11.14,13.86,25.38,87.40,0.290,52.10,15.13,PASS,8.30,83.60,8.30,33.80,
llama.cpp,ZSTD,single run (no -n),40,114.17,100.30,1.138,0.9123,0.9100,0.0023,11.58,13.19,25.07,84.58,0.296,52.73,15.64,PASS,8.80,474.00,8.30,9.20,
claw-code,TGZ,single run (no -n),40,23.82,47.56,0.501,1.0000,1.0000,0.0000,59.48,29.77,153.54,392.56,0.391,9.23,3.61,PASS,6.30,4.20,6.10,3.70,
claw-code,LZFSE (Other3),inflight=40 (1 run),40,253.04,339.49,0.745,0.9818,0.9865,-0.0047,5.60,4.17,158.95,402.20,0.395,8.91,3.52,PASS,131.60,228.90,247.20,299.30,
claw-code,LZFSE (Optimal3),single run (no -n),40,—,62.85,—,—,0.9401,—,—,22.53,—,435.87,—,—,3.25,,—,550.80,—,316.40,Windows result missing
claw-code,LZFSE (BVX3),inflight=40 (1 run),40,246.37,371.09,0.664,0.9254,0.9492,-0.0238,5.75,3.82,139.89,410.21,0.341,10.13,3.45,PASS,155.20,250.40,245.10,324.80,
claw-code,LZFSE (Lazy2),inflight=40 (1 run),40,41.03,62.50,0.656,0.8704,0.8998,-0.0294,34.53,22.66,141.17,356.23,0.396,10.03,3.98,PASS,485.10,494.60,242.20,321.00,
claw-code,LZFSE (Optimal),inflight=40 (1 run),40,17.78,33.73,0.527,0.8274,0.8574,-0.0300,79.68,41.99,141.87,377.00,0.376,9.99,3.76,PASS,512.50,568.70,240.60,307.80,
claw-code,TLZ4,single run (no -n),40,201.74,390.15,0.517,1.1739,1.1793,-0.0054,7.02,3.63,189.33,389.20,0.486,7.48,3.64,PASS,8.30,78.20,8.30,33.70,
claw-code,ZSTD,single run (no -n),40,110.34,346.94,0.318,0.7813,0.8245,-0.0432,12.84,4.08,171.20,374.45,0.457,8.27,3.78,PASS,8.30,371.20,8.80,9.30,
