dataset,format,nanoseconds,decoded_bytes,valid,verify,encode_rss_mb,decode_rss_mb,note
claw-code,decodeTgz-n40,42807689900,1402916995,yes,PASS,6.7,6.4,write to file
claw-code,decodeTgz-n40,40359754200,1402916995,yes,PASS,6.7,6,write to nul
claw-code,decodeOther3-n40,24685466100,1402916995,yes,PASS,132.5,259.2,write to file
claw-code,decodeOther3-n40,1902610200,1402916995,yes,PASS,121.5,259.1,write to nul
claw-code,decodeOptimal3-n40,24274063400,1402916995,yes,PASS,497.4,257.1,write to file
claw-code,decodeOptimal3-n40,1648165300,1402916995,yes,PASS,499.8,255.9,write to nul
claw-code,decodeBVX3-n40,24609381600,1402916995,yes,PASS,137.9,249.3,write to file
claw-code,decodeBVX3-n40,1814645300,1402916995,yes,PASS,134.9,248.9,write to nul
claw-code,decodeLazy2-n40,23605870100,1402916995,yes,PASS,486.3,247.7,write to file
claw-code,decodeLazy2-n40,1747775300,1402916995,yes,PASS,487.3,249.6,write to nul
claw-code,decodeOptimal-n40,23385152200,1402916995,yes,PASS,510.1,245.2,write to file
claw-code,decodeOptimal-n40,1688028500,1402916995,yes,PASS,535.1,245,write to nul
claw-code,decodeLZ4-n40,21539880500,1402916995,yes,PASS,8.9,8.9,write to file
claw-code,decodeLZ4-n40,929358900,1402916995,yes,PASS,8.4,8.4,write to nul
claw-code,decodeZSTD-n40,25165001900,1402916995,yes,PASS,8.4,8.9,write to file
claw-code,decodeZSTD-n40,1525131100,1402916995,yes,PASS,8.4,8.9,write to nul
llama.cpp,decodeTgz-n40,174117942400,1211649419,yes,PASS,6.6,7,write to file
llama.cpp,decodeTgz-n40,146753831900,1211649419,yes,PASS,6.6,6.2,write to nul
llama.cpp,decodeOther3-n40,137060699000,1211649419,yes,PASS,144.5,347,write to file
llama.cpp,decodeOther3-n40,1451267100,1211649419,yes,PASS,150.8,345.5,write to nul
llama.cpp,decodeOptimal3-n40,136454139100,1211649419,yes,PASS,756.5,346.9,write to file
llama.cpp,decodeOptimal3-n40,1489492800,1211649419,yes,PASS,754.9,345.7,write to nul
llama.cpp,decodeBVX3-n40,135777344900,1211649419,yes,PASS,181.8,345.9,write to file
llama.cpp,decodeBVX3-n40,1479153200,1211649419,yes,PASS,152.4,346,write to nul
llama.cpp,decodeLazy2-n40,127975544100,1211649419,yes,PASS,676.1,346.3,write to file
llama.cpp,decodeLazy2-n40,1353800400,1211649419,yes,PASS,686.6,344.8,write to nul
llama.cpp,decodeOptimal-n40,121076487200,1211649419,yes,PASS,754.3,346.4,write to file
llama.cpp,decodeOptimal-n40,1464988200,1211649419,yes,PASS,754,344.9,write to nul
llama.cpp,decodeLZ4-n40,120303051800,1211649419,yes,PASS,8.9,8.4,write to file
llama.cpp,decodeLZ4-n40,688723400,1211649419,yes,PASS,8.4,8.4,write to nul
llama.cpp,decodeZSTD-n40,125248029300,1211649419,yes,PASS,8.4,8.4,write to file
llama.cpp,decodeZSTD-n40,894988900,1211649419,yes,PASS,8.4,8.4,write to nul
