dataset,format,nanoseconds,encoded_bytes,valid,encode_rss_mb,decode_rss_mb,note
claw-code,encodeTgz-n40,22118338200,488898963,yes,6.7,6.4,write to file
claw-code,encodeTgz-n40,21615524100,0,yes,6.7,6,write to nul
claw-code,encodeOther3-n40,7086966100,482093259,yes,132.5,259.2,write to file
claw-code,encodeOther3-n40,7127044200,0,yes,121.5,259.1,write to nul
claw-code,encodeOptimal3-n40,50268448400,459101998,yes,497.4,257.1,write to file
claw-code,encodeOptimal3-n40,52023406800,0,yes,499.8,255.9,write to nul
claw-code,encodeBVX3-n40,7199494000,454124467,yes,137.9,249.3,write to file
claw-code,encodeBVX3-n40,7723775900,0,yes,134.9,248.9,write to nul
claw-code,encodeLazy2-n40,35588132300,426823795,yes,486.3,247.7,write to file
claw-code,encodeLazy2-n40,39704434800,0,yes,487.3,249.6,write to nul
claw-code,encodeOptimal-n40,81443797300,405422085,yes,510.1,245.2,write to file
claw-code,encodeOptimal-n40,86884339900,0,yes,535.1,245,write to nul
claw-code,encodeLZ4-n40,7983055000,576488515,yes,8.9,8.9,write to file
claw-code,encodeLZ4-n40,8489652000,0,yes,8.4,8.4,write to nul
claw-code,encodeZSTD-n40,15057188500,383499763,yes,8.4,8.9,write to file
claw-code,encodeZSTD-n40,15003480900,0,yes,8.4,8.9,write to nul
llama.cpp,encodeTgz-n40,26730881500,615680834,yes,6.6,7,write to file
llama.cpp,encodeTgz-n40,26753836200,0,yes,6.6,6.2,write to nul
llama.cpp,encodeOther3-n40,22756971900,613591419,yes,144.5,347,write to file
llama.cpp,encodeOther3-n40,22469539800,0,yes,150.8,345.5,write to nul
llama.cpp,encodeOptimal3-n40,35106216400,599612631,yes,756.5,346.9,write to file
llama.cpp,encodeOptimal3-n40,35030793300,0,yes,754.9,345.7,write to nul
llama.cpp,encodeBVX3-n40,23213487200,602853281,yes,181.8,345.9,write to file
llama.cpp,encodeBVX3-n40,22897546000,0,yes,152.4,346,write to nul
llama.cpp,encodeLazy2-n40,24861401400,589321714,yes,676.1,346.3,write to file
llama.cpp,encodeLazy2-n40,24219741300,0,yes,686.6,344.8,write to nul
llama.cpp,encodeOptimal-n40,43721102100,578117225,yes,754.3,346.4,write to file
llama.cpp,encodeOptimal-n40,43032019100,0,yes,754,344.9,write to nul
llama.cpp,encodeLZ4-n40,23587955800,646458763,yes,8.9,8.4,write to file
llama.cpp,encodeLZ4-n40,23446100000,0,yes,8.4,8.4,write to nul
llama.cpp,encodeZSTD-n40,24127403100,561681487,yes,8.4,8.4,write to file
llama.cpp,encodeZSTD-n40,22986829600,0,yes,8.4,8.4,write to nul
