dataset,format,output_mode,encode_rss_mb,decode_rss_mb
claw-code,Other3,nul,123.4,258.9
claw-code,Optimal3,nul,502.9,255.2
claw-code,BVX3,nul,133.6,248.6
claw-code,Lazy2,nul,485.5,249.2
claw-code,Optimal,nul,509.6,244.9
claw-code,LZ4,nul,8.3,8.8
claw-code,ZSTD,nul,8.3,8.3
claw-code,Tgz,nul,6.4,6.2
claw-code,Other3,file,130.3,257.5
claw-code,Optimal3,file,499.1,255.4
claw-code,BVX3,file,139.3,248.5
claw-code,Lazy2,file,482.7,248.8
claw-code,Optimal,file,508.8,244.9
claw-code,LZ4,file,8.8,8.8
claw-code,ZSTD,file,8.3,8.8
claw-code,Tgz,file,6.4,5.9
llama.cpp,Other3,nul,143.3,346.8
llama.cpp,Optimal3,nul,751.6,345.6
llama.cpp,BVX3,nul,173.9,345.8
llama.cpp,Lazy2,nul,651.6,346.3
llama.cpp,Optimal,nul,684.4,344.8
llama.cpp,LZ4,nul,8.3,8.8
llama.cpp,ZSTD,nul,8.8,8.3
llama.cpp,Tgz,nul,6.6,6.2
llama.cpp,Other3,file,149.4,346.8
llama.cpp,Optimal3,file,753.1,346.9
llama.cpp,BVX3,file,162,345.7
llama.cpp,Lazy2,file,632.8,344.8
llama.cpp,Optimal,file,764.1,345.2
llama.cpp,LZ4,file,8.3,8.8
llama.cpp,ZSTD,file,8.3,8.8
llama.cpp,Tgz,file,6.6,7
