RUNNING_POWER_BENCHMARK 01:11:02
RUNNING_POWER claw-code-tgz-encode 01:11:05
POWER_DONE claw-code-tgz-encode 01:11:36
RUNNING_POWER claw-code-tgz-decode 01:11:36
POWER_DONE claw-code-tgz-decode 01:11:38
RUNNING_POWER claw-code-zstd-encode 01:11:38
POWER_DONE claw-code-zstd-encode 01:11:42
RUNNING_POWER claw-code-zstd-decode 01:11:42
POWER_DONE claw-code-zstd-decode 01:11:43
RUNNING_POWER claw-code-tar.lz4-encode 01:11:43
POWER_DONE claw-code-tar.lz4-encode 01:11:46
RUNNING_POWER claw-code-tar.lz4-decode 01:11:46
POWER_DONE claw-code-tar.lz4-decode 01:11:47
RUNNING_POWER claw-code-other3-n40-encode 01:11:47
POWER_DONE claw-code-other3-n40-encode 01:11:49
RUNNING_POWER claw-code-other3-n40-decode 01:11:49
POWER_NO_SAMPLES claw-code-other3-n40-decode 01:11:50
RUNNING_POWER claw-code-apple-n40-encode 01:11:50
POWER_DONE claw-code-apple-n40-encode 01:12:00
RUNNING_POWER claw-code-apple-n40-decode 01:12:00
POWER_DONE claw-code-apple-n40-decode 01:12:02
RUNNING_POWER claw-code-bvx3-n40-encode 01:12:02
POWER_DONE claw-code-bvx3-n40-encode 01:12:05
RUNNING_POWER claw-code-bvx3-n40-decode 01:12:05
POWER_DONE claw-code-bvx3-n40-decode 01:12:06
RUNNING_POWER claw-code-lazy2-n40-encode 01:12:06
POWER_DONE claw-code-lazy2-n40-encode 01:12:35
RUNNING_POWER claw-code-lazy2-n40-decode 01:12:35
POWER_DONE claw-code-lazy2-n40-decode 01:12:36
RUNNING_POWER claw-code-optimal-n40-encode 01:12:36
POWER_DONE claw-code-optimal-n40-encode 01:13:18
RUNNING_POWER claw-code-optimal-n40-decode 01:13:18
POWER_DONE claw-code-optimal-n40-decode 01:13:19
RUNNING_POWER claw-code-other3-n8-encode 01:13:19
POWER_DONE claw-code-other3-n8-encode 01:13:22
RUNNING_POWER claw-code-other3-n8-decode 01:13:22
