algorithm,encode_decode,n,duration_ns,cpu_power_mw,cpu_energy_j,gpu_power_mw,ane_power_mw,dram_power_mw,combined_power_mw,energy_j,energy_impact,status
演算法,壓縮/解壓縮,在途任務數,耗時(ns),CPU功率(mW),CPU能耗(J),GPU功率(mW),ANE功率(mW),DRAM功率(mW),總功率(mW),總能耗(J),Energy Impact(相對值),狀態
"claw-code-tgz",encode,,4358608961,16205.778,70.634649,2.333,0.000,,16207.778,70.643366,34590.47,ok
"claw-code-tgz",decode,,1687700987,4312.750,7.278632,5.000,0.000,,4317.500,7.286649,7989.03,ok
"claw-code-zstd",encode,,2889391184,14596.500,42.174998,6.667,0.000,,14602.833,42.193297,28820.84,ok
"claw-code-zstd",decode,,942179918,3146.333,2.964412,5.333,0.000,,3151.667,2.969437,5102.71,ok
"claw-code-tar.lz4",encode,,2058902979,14890.400,30.657889,6.000,0.000,,14896.200,30.669831,28819.12,ok
"claw-code-tar.lz4",decode,,481471062,2227.500,1.072477,9.000,0.000,,2236.000,1.076569,2500.49,ok
"claw-code-other3",encode,40,2080333948,15018.800,31.244119,3.200,0.000,,15021.600,31.249944,28751.84,ok
"claw-code-other3",decode,40,1253546000,11446.000,4.782696,6.000,0.000,,11451.667,4.785064,17405.79,ok
"claw-code-optimal3",encode,40,20494288921,18081.925,370.576195,2.150,0.000,,18084.050,370.619746,38381.75,ok
"claw-code-optimal3",decode,40,1154478073,10676.000,4.108403,2.000,0.000,,10677.667,4.109044,16956.45,ok
"claw-code-apple",encode,40,8825633049,5382.778,47.506423,0.000,0.000,,5382.778,47.506423,11039.02,ok
"claw-code-apple",decode,40,2444157124,4333.833,3.530856,0.000,0.000,,4333.833,3.530856,7543.90,ok
"claw-code-bvx3",encode,40,1972499132,14720.800,29.036765,0.000,0.000,,14720.800,29.036765,29160.02,ok
"claw-code-bvx3",decode,40,1556275129,10691.000,5.546046,0.000,0.000,,10691.000,5.546046,12964.58,ok
"claw-code-lazy2",encode,40,19670232058,6039.718,118.802655,0.000,0.000,,6039.718,118.802655,11586.46,ok
"claw-code-lazy2",decode,40,1449036121,10078.500,4.868037,0.000,0.000,,10078.500,4.868037,13373.24,ok
"claw-code-optimal",encode,40,38327769041,13493.787,517.186752,0.267,0.000,,13494.040,517.196449,42218.75,ok
"claw-code-optimal",decode,40,1412971973,12643.333,5.954892,0.000,0.000,,12643.333,5.954892,16954.08,ok
"claw-code-other3",encode,8,2192265034,15753.800,34.536505,0.000,0.000,,15753.800,34.536505,33585.52,ok
"claw-code-other3",decode,8,1538187981,10465.250,5.365841,0.000,0.000,,10465.250,5.365841,12051.05,ok
"claw-code-optimal3",encode,8,22649632215,17638.733,399.510815,0.000,0.000,,17638.733,399.510815,37337.79,ok
"claw-code-optimal3",decode,8,1364521980,12219.667,5.558001,5.333,0.000,,12224.667,5.560276,15923.36,ok
"claw-code-apple",encode,8,8829328060,5328.611,47.048055,0.000,0.000,,5328.611,47.048055,10910.38,ok
"claw-code-apple",decode,8,2441735029,4779.800,3.890335,0.000,0.000,,4779.800,3.890335,8192.13,ok
"claw-code-bvx3",encode,8,2458684921,16412.167,40.352348,2.500,0.000,,16414.667,40.358494,30648.80,ok
"claw-code-bvx3",decode,8,1974198103,10615.600,6.985766,0.000,0.000,,10615.600,6.985766,18495.15,ok
"claw-code-lazy2",encode,8,21243568897,6051.024,128.545345,0.000,0.000,,6051.024,128.545345,17321.05,ok
"claw-code-lazy2",decode,8,1771995068,11196.250,6.613233,0.000,0.000,,11196.250,6.613233,21704.81,ok
"claw-code-optimal",encode,8,41574512005,13409.889,557.509591,0.173,0.000,,13410.062,557.516784,28112.92,ok
"claw-code-optimal",decode,8,1788203955,11469.000,6.836304,0.000,0.000,,11469.000,6.836304,22256.65,ok
"claw-code-other3",encode,4,3307985067,15501.286,51.278023,0.000,0.000,,15501.286,51.278023,32603.70,ok
"claw-code-other3",decode,4,2087445974,11107.800,7.728977,0.000,0.000,,11107.800,7.728977,17991.44,ok
"claw-code-optimal3",encode,4,32003061056,16356.270,523.450707,0.190,0.000,,16356.444,523.456276,34859.08,ok
"claw-code-optimal3",decode,4,1784045219,11321.500,6.732689,0.000,0.000,,11321.500,6.732689,22000.90,ok
"claw-code-apple",encode,4,8889140844,5428.611,48.255688,0.000,0.000,,5428.611,48.255688,10888.69,ok
"claw-code-apple",decode,4,2447412968,4402.833,3.591850,0.000,0.000,,4402.833,3.591850,7606.29,ok
"claw-code-bvx3",encode,4,3291913986,15513.571,51.069341,0.000,0.000,,15513.571,51.069341,32799.84,ok
"claw-code-bvx3",decode,4,2665770054,10891.333,9.677930,0.000,0.000,,10891.333,9.677930,20842.42,ok
"claw-code-lazy2",encode,4,24504137039,6423.583,157.404358,0.208,0.000,,6423.792,157.409479,12871.38,ok
"claw-code-lazy2",decode,4,2353410006,11185.000,8.774297,0.000,0.000,,11185.000,8.774297,18837.90,ok
"claw-code-optimal",encode,4,53397229195,13228.471,706.363698,0.115,0.000,,13228.577,706.369358,27821.82,ok
"claw-code-optimal",decode,4,2399257898,11579.000,9.260336,0.000,0.000,,11579.000,9.260336,21707.92,ok
"llama.cpp-tgz",encode,,4091814041,15471.111,63.304909,0.000,0.000,,15471.111,63.304909,31702.27,ok
"llama.cpp-tgz",decode,,1216398001,4501.000,5.475007,0.000,0.000,,4501.000,5.475007,7912.51,ok
"llama.cpp-zstd",encode,,1986963034,12441.400,24.720602,0.000,0.000,,12441.400,24.720602,23392.21,ok
"llama.cpp-zstd",decode,,538352966,2528.000,1.360956,0.000,0.000,,2528.000,1.360956,3071.22,ok
"llama.cpp-tar.lz4",encode,,2289045095,17379.000,39.781315,0.000,0.000,,17379.000,39.781315,36878.51,ok
"llama.cpp-tar.lz4",decode,,413572788,2307.000,0.954112,0.000,0.000,,2307.000,0.954112,3023.50,ok
"llama.cpp-other3",encode,40,1674708128,15145.250,25.363873,0.000,0.000,,15145.250,25.363873,32731.14,ok
"llama.cpp-other3",decode,40,990145922,8366.667,2.761407,0.000,0.000,,8366.667,2.761407,11136.35,ok
"llama.cpp-optimal3",encode,40,16983966112,17488.500,297.024091,0.000,0.000,,17488.500,297.024091,36695.66,ok
"llama.cpp-optimal3",decode,40,894236088,7447.000,2.219792,0.000,0.000,,7447.000,2.219792,10468.50,ok
"llama.cpp-apple",encode,40,7522243023,5538.600,41.662695,1.867,0.000,,5540.333,41.675731,11051.51,ok
"llama.cpp-apple",decode,40,2637035131,3967.500,3.487479,0.000,0.000,,3967.500,3.487479,7170.93,ok
"llama.cpp-bvx3",encode,40,1783499956,16512.500,29.450043,0.000,0.000,,16512.500,29.450043,34292.41,ok
"llama.cpp-bvx3",decode,40,1151741982,9960.667,3.824039,0.000,0.000,,9960.667,3.824039,15372.96,ok
"llama.cpp-lazy2",encode,40,7119726896,7852.600,55.908367,0.000,0.000,,7852.600,55.908367,15481.72,ok
"llama.cpp-lazy2",decode,40,920963049,7500.667,2.302612,0.000,0.000,,7500.667,2.302612,10262.70,ok
"llama.cpp-optimal",encode,40,24447633982,15361.854,375.560984,0.375,0.000,,15362.208,375.569638,32346.85,ok
"llama.cpp-optimal",decode,40,1116626978,10137.000,3.773083,0.000,0.000,,10137.000,3.773083,15901.44,ok
"llama.cpp-other3",encode,8,1839491129,16563.500,30.468411,0.000,0.000,,16563.500,30.468411,33680.07,ok
"llama.cpp-other3",decode,8,1260838985,9969.000,4.189768,0.000,0.000,,9969.000,4.189768,13347.75,ok
"llama.cpp-optimal3",encode,8,18758254051,17338.162,325.233648,0.216,0.000,,17338.351,325.237193,36812.40,ok
"llama.cpp-optimal3",decode,8,1117642879,8432.000,3.141322,0.000,0.000,,8432.000,3.141322,13108.71,ok
"llama.cpp-apple",encode,8,7503838778,5595.667,41.988983,0.000,0.000,,5595.667,41.988983,11218.14,ok
"llama.cpp-apple",decode,8,2643045902,4502.333,3.966624,0.000,0.000,,4502.333,3.966624,8152.26,ok
"llama.cpp-bvx3",encode,8,1907154083,17419.500,33.221671,0.000,0.000,,17419.500,33.221671,34797.12,ok
"llama.cpp-bvx3",decode,8,1495496035,8831.500,4.402491,0.000,0.000,,8831.500,4.402491,10139.92,ok
"llama.cpp-lazy2",encode,8,7537883997,8150.933,61.440787,0.000,0.000,,8150.933,61.440787,16282.09,ok
"llama.cpp-lazy2",decode,8,1173923016,8920.000,3.490464,0.000,0.000,,8920.000,3.490464,12882.79,ok
"llama.cpp-optimal",encode,8,26849310875,14878.113,399.467081,0.226,0.000,,14878.321,399.472666,31246.51,ok
"llama.cpp-optimal",decode,8,1416913033,8119.250,3.834757,0.000,0.000,,8119.250,3.834757,9758.26,ok
"llama.cpp-other3",encode,4,2807374001,15440.667,43.347727,0.000,0.000,,15440.667,43.347727,31759.03,ok
"llama.cpp-other3",decode,4,1666729927,9021.250,5.011996,0.000,0.000,,9021.250,5.011996,15541.52,ok
"llama.cpp-optimal3",encode,4,26947419882,15955.000,429.946084,0.038,0.000,,15955.038,429.947108,33918.44,ok
"llama.cpp-optimal3",decode,4,1447647095,7813.750,3.770517,1.000,0.000,,7814.750,3.771000,8771.46,ok
"llama.cpp-apple",encode,4,7557311058,5555.400,41.983886,0.533,0.000,,5555.933,41.987914,11186.62,ok
"llama.cpp-apple",decode,4,2635129213,3942.167,3.462706,0.000,0.000,,3942.167,3.462706,7126.81,ok
"llama.cpp-bvx3",encode,4,2872844934,16104.000,46.264295,0.000,0.000,,16104.000,46.264295,32715.74,ok
"llama.cpp-bvx3",decode,4,2012835979,8509.400,5.709342,0.000,0.000,,8509.400,5.709342,13973.64,ok
"llama.cpp-lazy2",encode,4,9140259027,8273.895,75.625543,0.000,0.000,,8273.895,75.625543,16667.92,ok
"llama.cpp-lazy2",decode,4,1497455120,7790.000,3.888392,0.000,0.000,,7790.000,3.888392,8796.82,ok
"llama.cpp-optimal",encode,4,36451774120,14463.239,527.210721,0.169,0.000,,14463.408,527.216881,30655.03,ok
"llama.cpp-optimal",decode,4,1859066010,9641.250,5.974573,0.000,0.000,,9641.250,5.974573,17526.88,ok
