proc_pidpath 1244 failed(0)
proc_pidpath 2363 failed(0)
proc_pidpath 2365 failed(0)
proc_pidpath 3918 failed(0)
proc_pidpath 6719 failed(0)
proc_pidpath 6878 failed(0)
proc_pidpath 24628 failed(0)
proc_pidpath 24979 failed(0)
proc_pidpath 28019 failed(0)
proc_pidpath 36947 failed(0)
proc_pidpath 37623 failed(0)
proc_pidpath 51424 failed(0)
proc_pidpath 51463 failed(0)
proc_pidpath 56848 failed(0)
proc_pidpath 69058 failed(0)
Machine model: Mac16,10
OS version: 26A5421a
Boot arguments: 
Boot time: Wed Aug 26 09:35:47 2026

proc_pidpath 1244 failed(0)
proc_pidpath 2363 failed(0)
proc_pidpath 2365 failed(0)
proc_pidpath 3918 failed(0)
proc_pidpath 6719 failed(0)
proc_pidpath 6878 failed(0)
proc_pidpath 24628 failed(0)
proc_pidpath 24979 failed(0)
proc_pidpath 28019 failed(0)
proc_pidpath 36947 failed(0)
proc_pidpath 37623 failed(0)
proc_pidpath 51424 failed(0)
proc_pidpath 51463 failed(0)
proc_pidpath 56848 failed(0)
proc_pidpath 69058 failed(0)
Second underflow occured.


*** Sampled system activity (Fri Aug 28 02:03:57 2026 +0800) (517.86ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
DEAD_TASKS                         -1     3234.78   97.06  5.79    0.00               5.79    0.00              9000.82         
lzfse                              62975  3704.67   94.45  0.00    0.00               0.00    0.00              9668.48         
powermetrics                       62973  27.45     17.73  0.00    0.00               1.93    0.00              80.88           
Google Chrome Helper (Renderer)    30643  92.93     94.17  7.73    0.00               7.73    0.00              22.22           
claude                             3806   9.78      82.76  0.00    0.00               13.53   0.00              17.82           
claude                             3637   9.06      84.70  0.00    0.00               9.66    0.00              14.62           
claude                             3477   8.46      85.81  0.00    0.00               9.66    0.00              13.87           
coreaudiod                         316    30.68     87.78  0.00    0.00               94.71   0.00              6.12            
corespotlightd                     475    5.94      61.18  0.00    0.00               3.87    0.00              5.66            
Terminal                           418    23.42     86.07  0.00    0.00               3.87    0.00              4.87            
kernel_task                        0      23.25     0.00   460.00  0.00               552.77  0.00              3.05            
Finder                             435    12.72     63.94  0.00    0.00               7.73    0.00              2.92            
nehelper                           233    7.83      75.80  0.00    0.00               0.00    0.00              1.99            
Google Chrome Helper               1153   10.97     63.72  0.00    0.00               59.92   0.00              1.74            
zsh                                56041  0.58      24.66  0.00    0.00               0.00    0.00              1.53            
WindowManager                      402    7.50      93.14  0.00    0.00               0.00    0.00              1.51            
claude                             3721   0.95      72.68  0.00    0.00               5.80    0.00              1.20            
claude                             4236   1.27      76.52  0.00    0.00               5.80    0.00              1.09            
runningboardd                      177    9.07      70.58  0.00    0.00               3.87    0.00              1.05            
claude                             6731   1.89      80.04  0.00    0.00               9.66    0.00              1.00            
