file,kind,dataset,algorithm,n,total_rows,symbol_status,unique_symbols,lzfse_profile_seen,lzfse_symbol_hits,parse_hits,encode_hits,fse_hits,swift_array_hits,swift_runtime_hits,memory_copy_hits,io_hits,apple_compression_hits,external_tool_hits,top_symbol,top_count,top_category
檔案,種類,資料夾,演算法,N,row總數,symbol狀態,唯一symbol數,看到lzfse-profile,lzfse symbol命中,parse命中,encode命中,FSE命中,Swift Array命中,Swift runtime命中,memory copy命中,IO命中,Apple Compression命中,外部工具命中,最高symbol,最高命中數,最高分類
"claw-code-apple-n4.time-profile.xml","time-profile","claw-code","apple","4","8299","ok","128","yes","151","","","","","13","7","31","1","5","lzfseEncodeMatches","82","apple_lzfse"
"claw-code-apple-n40.time-profile.xml","time-profile","claw-code","apple","40","8192","ok","121","yes","147","","","","","11","8","23","1","3","lzfseEncodeMatches","79","apple_lzfse"
"claw-code-apple-n8.time-profile.xml","time-profile","claw-code","apple","8","8207","ok","139","yes","140","","","","","17","7","26","1","3","lzfseEncodeMatches","75","apple_lzfse"
"claw-code-bvx3-n4.time-profile.xml","time-profile","claw-code","bvx3","4","13593","ok","203","yes","287","101","73","","88","47","18","16","","5","static LZFSEv1.fseEncode(state:_:_:)","38","fse"
"claw-code-bvx3-n40.time-profile.xml","time-profile","claw-code","bvx3","40","19034","ok","229","yes","349","104","135","","105","54","19","22","","4","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","63","encode"
"claw-code-bvx3-n8.time-profile.xml","time-profile","claw-code","bvx3","8","17324","ok","209","yes","333","106","117","","108","64","21","24","","5","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","60","encode"
"claw-code-lazy2-n4.time-profile.xml","time-profile","claw-code","lazy2","4","100805","ok","254","yes","541","347","74","","73","63","17","20","","5","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","143","parse"
"claw-code-lazy2-n40.time-profile.xml","time-profile","claw-code","lazy2","40","194234","ok","254","yes","606","355","128","","102","63","23","19","","7","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","149","parse"
"claw-code-lazy2-n8.time-profile.xml","time-profile","claw-code","lazy2","8","156445","ok","263","yes","584","359","114","","91","69","20","31","","5","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","148","parse"
"claw-code-optimal-n4.time-profile.xml","time-profile","claw-code","optimal","4","211511","ok","3053","yes","1193","986","72","","131","79","14","20","","80","specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","658","parse"
"claw-code-optimal-n40.time-profile.xml","time-profile","claw-code","optimal","40","372193","ok","5732","yes","1406","1129","126","","190","134","18","20","","92","specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","708","parse"
"claw-code-optimal-n8.time-profile.xml","time-profile","claw-code","optimal","8","319845","ok","4883","yes","1352","1091","118","","176","124","19","16","","90","specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","693","parse"
"claw-code-other3-n4.time-profile.xml","time-profile","claw-code","other3","4","13978","ok","235","yes","253","92","75","","68","48","19","22","","6","specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:)","55","encode"
"claw-code-other3-n40.time-profile.xml","time-profile","claw-code","other3","40","19012","ok","247","yes","290","100","97","","77","58","22","19","","5","specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:)","72","encode"
"claw-code-other3-n8.time-profile.xml","time-profile","claw-code","other3","8","17335","ok","247","yes","281","104","90","","70","81","19","18","","4","specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:)","68","encode"
"claw-code-tar.lz4.time-profile.xml","time-profile","claw-code","tar.lz4","","16142","ok","73","no","","","","","","","","22","1","318","LZ4HC_compress_generic_noDictCtx","285","external_tool"
"claw-code-tgz.time-profile.xml","time-profile","claw-code","tgz","","29162","ok","140","no","","","","","","","4","55","","6","0x19d117bac","83","other"
"claw-code-zstd.time-profile.xml","time-profile","claw-code","zstd","","25839","ok","114","no","","","","","","","8","56","6","657","ZSTD_compressBlock_lazy2_row","174","external_tool"
"llama.cpp-apple-n4.time-profile.xml","time-profile","llama.cpp","apple","4","6361","ok","147","yes","142","","","","","11","7","33","1","4","lzfseEncodeMatches","79","apple_lzfse"
"llama.cpp-apple-n40.time-profile.xml","time-profile","llama.cpp","apple","40","6459","ok","105","yes","150","","","","","7","4","27","1","3","lzfseEncodeMatches","84","apple_lzfse"
"llama.cpp-apple-n8.time-profile.xml","time-profile","llama.cpp","apple","8","6399","ok","119","yes","130","","","","","9","5","28","2","4","lzfseEncodeMatches","69","apple_lzfse"
"llama.cpp-bvx3-n4.time-profile.xml","time-profile","llama.cpp","bvx3","4","10683","ok","193","yes","295","96","92","","79","42","15","18","","5","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","46","encode"
"llama.cpp-bvx3-n40.time-profile.xml","time-profile","llama.cpp","bvx3","40","14921","ok","210","yes","344","103","120","","100","52","20","15","","6","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","57","encode"
"llama.cpp-bvx3-n8.time-profile.xml","time-profile","llama.cpp","bvx3","8","13541","ok","223","yes","334","104","109","","97","50","19","17","","6","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","51","encode"
"llama.cpp-lazy2-n4.time-profile.xml","time-profile","llama.cpp","lazy2","4","31018","ok","210","yes","476","273","85","","64","48","16","20","","4","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","126","parse"
"llama.cpp-lazy2-n40.time-profile.xml","time-profile","llama.cpp","lazy2","40","58965","ok","255","yes","535","302","120","","98","62","20","20","","4","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","132","parse"
"llama.cpp-lazy2-n8.time-profile.xml","time-profile","llama.cpp","lazy2","8","45599","ok","263","yes","522","293","115","","84","56","18","19","","5","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","127","parse"
