kind,symbol,count,category
種類,symbol,命中數,分類
"time-profile","specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","4278","parse"
"time-profile","specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","942","encode"
"time-profile","static LZFSEv1.fseEncode(state:_:_:)","884","fse"
"time-profile","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","816","parse"
"time-profile","specialized Array._getElement(_:wasNativeTypeChecked:matchingSubscriptCheck:)","811","swift_array"
"time-profile","specialized _ArrayBuffer.beginCOWMutation()","780","swift_array"
"time-profile","LZ4HC_compress_generic_noDictCtx","567","external_tool"
"time-profile","static LZFSEv1.symbol(forValue:base:)","491","fse"
"time-profile","samplePointEntropyAndText #1 (start:len:) in closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","489","parse"
"time-profile","matchLength #1 (_:_:limit:) in closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:)","483","parse"
"time-profile","_platform_memmove","470","memory_copy"
"time-profile","lzfseEncodeMatches","464","apple_lzfse"
"time-profile","specialized Array._checkSubscript(_:wasNativeTypeChecked:)","424","swift_array"
"time-profile","specialized _ArrayBuffer._checkValidSubscriptMutating(_:)","407","swift_array"
"time-profile","lzfseEncodeBase","388","apple_lzfse"
"time-profile","matchLength #1 (_:_:limit:) in closure #1 in static LZFSEv1.lzParseChain(_:maxL:maxM:maxDist:)","366","parse"
"time-profile","bestMatch #1 (_:) in closure #1 in static LZFSEv1.lzParseStrong(_:maxL:maxM:maxDist:)","366","parse"
"time-profile","LZFSEv1.FSEOutStream.push(_:_:)","352","fse"
"time-profile","specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:)","345","encode"
"time-profile","specialized Array.append<A>(contentsOf:)","332","swift_array"
"time-profile","swift::runtime::AccessSet::insert(swift::runtime::Access*, void*, void*, swift::ExclusivityFlags)","331","other"
"time-profile","closure #2 in static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:)","331","encode"
"time-profile","ZSTD_compressBlock_lazy2_row","320","external_tool"
