RUNNING cpu_call_tree_analysis 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n4.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n4.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n40.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n40.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n8.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n8.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-bvx3-n4.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-bvx3-n4.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-bvx3-n40.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-bvx3-n40.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-bvx3-n8.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-bvx3-n8.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-lazy2-n4.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-lazy2-n4.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-lazy2-n40.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-lazy2-n40.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-lazy2-n8.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-lazy2-n8.time-profile.xml 00:21:03
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-optimal-n4.time-profile.xml 00:21:03
CPU_CALL_TREE_ANALYSIS_OK claw-code-optimal-n4.time-profile.xml 00:21:04
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-optimal-n40.time-profile.xml 00:21:04
CPU_CALL_TREE_ANALYSIS_OK claw-code-optimal-n40.time-profile.xml 00:21:06
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-optimal-n8.time-profile.xml 00:21:06
CPU_CALL_TREE_ANALYSIS_OK claw-code-optimal-n8.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-other3-n4.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-other3-n4.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-other3-n40.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-other3-n40.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-other3-n8.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-other3-n8.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-tar.lz4.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-tar.lz4.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-tgz.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-tgz.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-zstd.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK claw-code-zstd.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-apple-n4.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-apple-n4.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-apple-n40.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-apple-n40.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-apple-n8.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-apple-n8.time-profile.xml 00:21:07
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-bvx3-n4.time-profile.xml 00:21:07
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-bvx3-n4.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-bvx3-n40.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-bvx3-n40.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-bvx3-n8.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-bvx3-n8.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-lazy2-n4.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-lazy2-n4.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-lazy2-n40.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-lazy2-n40.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-lazy2-n8.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-lazy2-n8.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-optimal-n4.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-optimal-n4.time-profile.xml 00:21:08
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-optimal-n40.time-profile.xml 00:21:08
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-optimal-n40.time-profile.xml 00:21:09
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-optimal-n8.time-profile.xml 00:21:09
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-optimal-n8.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-other3-n4.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-other3-n4.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-other3-n40.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-other3-n40.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-other3-n8.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-other3-n8.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-tar.lz4.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-tar.lz4.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-tgz.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-tgz.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS llama.cpp-zstd.time-profile.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK llama.cpp-zstd.time-profile.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n4.time-sample.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n4.time-sample.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n40.time-sample.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n40.time-sample.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-apple-n8.time-sample.xml 00:21:10
CPU_CALL_TREE_ANALYSIS_OK claw-code-apple-n8.time-sample.xml 00:21:10
RUNNING_CPU_CALL_TREE_ANALYSIS claw-code-bvx3-n4.time-sample.xml 00:21:10
